filename,Anthracnose,Bacterial Canker,Cutting Weevil,Die Back,Gall Midge,Healthy,Powdery Mildew,Sooty Mould,uploads
synthetic_Cutting Weevil_Sooty Mould_284.jpg,0,0,1,0,0,0,0,1,0
synthetic_Anthracnose_Sooty Mould_482.jpg,1,0,0,0,0,0,0,1,0
synthetic_Sooty Mould_Anthracnose_515.jpg,1,0,0,0,0,0,0,1,0
synthetic_Healthy_Sooty Mould_248.jpg,0,0,0,0,0,1,0,1,0
synthetic_uploads_Healthy_798.jpg,0,0,0,0,0,1,0,0,1
synthetic_Gall Midge_Bacterial Canker_483.jpg,0,1,0,0,1,0,0,0,0
synthetic_Gall Midge_Bacterial Canker_1670.jpg,0,1,0,0,1,0,0,0,0
synthetic_Gall Midge_Die Back_1555.jpg,0,0,0,1,1,0,0,0,0
synthetic_Die Back_Anthracnose_987.jpg,1,0,0,1,0,0,0,0,0
synthetic_Gall Midge_Powdery Mildew_902.jpg,0,0,0,0,1,0,1,0,0
synthetic_Powdery Mildew_Die Back_1979.jpg,0,0,0,1,0,0,1,0,0
synthetic_Anthracnose_Powdery Mildew_1398.jpg,1,0,0,0,0,0,1,0,0
synthetic_Anthracnose_Healthy_1837.jpg,1,0,0,0,0,1,0,0,0
synthetic_Bacterial Canker_Die Back_595.jpg,0,1,0,1,0,0,0,0,0
synthetic_Gall Midge_Bacterial Canker_298.jpg,0,1,0,0,1,0,0,0,0
synthetic_Cutting Weevil_Gall Midge_1947.jpg,0,0,1,0,1,0,0,0,0
synthetic_Powdery Mildew_Cutting Weevil_204.jpg,0,0,1,0,0,0,1,0,0
synthetic_Healthy_Bacterial Canker_1160.jpg,0,1,0,0,0,1,0,0,0
synthetic_Gall Midge_Die Back_1197.jpg,0,0,0,1,1,0,0,0,0
synthetic_Healthy_Anthracnose_1001.jpg,1,0,0,0,0,1,0,0,0
synthetic_Powdery Mildew_Bacterial Canker_1550.jpg,0,1,0,0,0,0,1,0,0
synthetic_Gall Midge_uploads_1599.jpg,0,0,0,0,1,0,0,0,1
synthetic_Anthracnose_uploads_1695.jpg,1,0,0,0,0,0,0,0,1
synthetic_Cutting Weevil_Anthracnose_1681.jpg,1,0,1,0,0,0,0,0,0
synthetic_Gall Midge_Anthracnose_133.jpg,1,0,0,0,1,0,0,0,0
synthetic_Bacterial Canker_Sooty Mould_1409.jpg,0,1,0,0,0,0,0,1,0
synthetic_Anthracnose_Cutting Weevil_1147.jpg,1,0,1,0,0,0,0,0,0
synthetic_Gall Midge_Sooty Mould_947.jpg,0,0,0,0,1,0,0,1,0
synthetic_Die Back_uploads_984.jpg,0,0,0,1,0,0,0,0,1
synthetic_Sooty Mould_Cutting Weevil_1948.jpg,0,0,1,0,0,0,0,1,0
synthetic_Gall Midge_Die Back_971.jpg,0,0,0,1,1,0,0,0,0
synthetic_uploads_Gall Midge_836.jpg,0,0,0,0,1,0,0,0,1
synthetic_Anthracnose_Cutting Weevil_1085.jpg,1,0,1,0,0,0,0,0,0
synthetic_Die Back_Anthracnose_44.jpg,1,0,0,1,0,0,0,0,0
synthetic_Cutting Weevil_Bacterial Canker_1778.jpg,0,1,1,0,0,0,0,0,0
synthetic_Sooty Mould_Gall Midge_1554.jpg,0,0,0,0,1,0,0,1,0
synthetic_Sooty Mould_Die Back_1788.jpg,0,0,0,1,0,0,0,1,0
synthetic_Sooty Mould_Anthracnose_1868.jpg,1,0,0,0,0,0,0,1,0
